Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,494
design__inferred_latch__count,0
design__instance__count,31290
design__instance__area,162771
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,282
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,25
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.0008110998896881938
power__switching__total,0.0002699723991099745
power__leakage__total,1.6936130009526096E-7
power__total,0.001081241643987596
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2817806900902267
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27137601267608275
timing__hold__ws__corner:nom_tt_025C_1v80,0.3239109072642894
timing__setup__ws__corner:nom_tt_025C_1v80,56.918642077298394
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323911
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,93.554047
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2129
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,25
design__max_cap_violation__count__corner:nom_ss_100C_1v60,9
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3026017022606029
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.28596834043524516
timing__hold__ws__corner:nom_ss_100C_1v60,0.8670120422564218
timing__setup__ws__corner:nom_ss_100C_1v60,54.30530490111299
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.867012
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,87.821358
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,33
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,25
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2740264481777298
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26672106944678364
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10641643423221803
timing__setup__ws__corner:nom_ff_n40C_1v95,57.88946730276527
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.106416
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,95.743416
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2589
design__max_fanout_violation__count,25
design__max_cap_violation__count,10
clock__skew__worst_hold,-0.27188616017032596
clock__skew__worst_setup,0.2649599226130121
timing__hold__ws,0.10517709223477797
timing__setup__ws,54.14671886343357
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105177
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,87.492775
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 415.585 426.305
design__core__bbox,5.52 10.88 409.86 413.44
design__io,45
design__die__area,177166
design__core__area,162771
design__instance__count__stdcell,9126
design__instance__area__stdcell,87915.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.540118
design__instance__utilization__stdcell,0.540118
design__rows,148
design__rows:unithd,148
design__sites,130092
design__sites:unithd,130092
design__instance__count__class:inverter,50
design__instance__area__class:inverter,187.68
design__instance__count__class:sequential_cell,1221
design__instance__area__class:sequential_cell,25971.2
design__instance__count__class:multi_input_combinational_cell,3577
design__instance__area__class:multi_input_combinational_cell,39296.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,22164
design__instance__area__class:fill_cell,74855.5
design__instance__count__class:tap_cell,2325
design__instance__area__class:tap_cell,2909.04
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,43
design__io__hpwl,5100333
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,4431.55
design__instance__displacement__mean,0.47
design__instance__displacement__max,12.996
route__wirelength__estimated,198837
design__violations,0
design__instance__count__class:timing_repair_buffer,1716
design__instance__area__class:timing_repair_buffer,16589.7
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,209
design__instance__area__class:clock_buffer,2768.91
design__instance__count__class:clock_inverter,18
design__instance__area__class:clock_inverter,167.661
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1038
global_route__vias,182
global_route__wirelength,337561
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,10
route__net,6729
route__net__special,2
route__drc_errors__iter:0,185
route__wirelength__iter:0,227497
route__drc_errors__iter:1,20
route__wirelength__iter:1,227397
route__drc_errors__iter:2,16
route__wirelength__iter:2,227389
route__drc_errors__iter:3,0
route__wirelength__iter:3,227361
route__drc_errors__iter:4,0
route__wirelength__iter:4,227379
route__drc_errors,0
route__wirelength,227361
route__vias,49157
route__vias__singlecut,49157
route__vias__multicut,0
design__instance__count__class:antenna_cell,10
design__instance__area__class:antenna_cell,25.024
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,1164.63
timing__unannotated_net__count__corner:nom_tt_025C_1v80,103
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,103
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
